Title,1.1 Primary Stakeholders,1.2 Context,1.3 Tech/AI type,1.4 Tool/Platform,1.5 Education level,2.1 Feedback term,2.2 Description of context,2.3 Our evaluation,3.1 Agency type,3.2 Feedback timing control,4.1 Metrics for evaluation,4.2 Measurement of agency
Paper—Constraint-based Student Modeling in Probability Story Problems with Scaffolding Techniques Constraint-based Student Modeling in Probability Story Problems with Scaffolding Techniques https://doi.org/10.3991/ijet.v13i01.7397,"Students, Teachers","Classroom, Self-paced learning environment","Intelligent Tutoring System (ITS), Constraint-Based Modeling (CBM)",Math Story Problem Tutor (MAST),Secondary education (third secondary level),"Scaffolding feedback, hints, keywords","The feedback context is described as providing various forms of assistance, including highlighting keywords related to errors, general feedback on correctness, and specific hints to guide students in correcting their mistakes.","The quality of feedback is described as fine-grained, allowing for specific diagnosis of student errors and providing relevant help through visual hints and general feedback.",Students have agency in selecting problems and deciding whether to use scaffolding questions or hints.,"Yes, students can control when they receive feedback by choosing to request hints or feedback.","Paired samples t-test, normalized knowledge gain, Mann-Whitney U test, power learning curves.",Not specified.
"RESEARCH OpenAccess Contextual factors affecting hint utility PaulSalvadorInventado1* ,PeterScupelli1†,KorinnOstrow2†,NeilHeffernanIII2†,JaclynOcumpaugh3†, VictoriaAlmeda4†andStefanSlater3†","Students, Teachers",Online mathematics assignments,Intelligent Tutoring System (ITS),ASSISTments,Middle school (specifically grade 8),"Hints, Correctness feedback","The feedback context is described as providing on-demand hints to help students recall relevant concepts, identify mistakes, and make inferences. Correctness feedback is given when students submit answers, indicating whether they are correct or incorrect.","The quality of feedback is characterized as potentially effective in improving student performance, particularly when hints are provided early in the problem-solving process.",Students have some agency in requesting hints and controlling their learning process by choosing when to seek help.,"Yes, students control the timing of feedback by choosing when to request hints.","Metrics used include mastery speed, percent correct, total answer attempts, total hint counts, completion time, and time-on-problem.",Agency is measured through the frequency of hint requests and the types of hints requested (regular vs. bottom-out hints).
Improving the Validity of Automatically Generated Feedback via Reinforcement Learning B,"Students, Teachers","Classroom, Online Learning Platforms","Intelligent Tutoring Systems (ITS), Large Language Models (LLMs)","Llama 2, GPT-4, Eedi (math learning platform)",Middle School,"Feedback, Suggestions, Hints","The feedback context is described as being aimed at addressing incorrect student responses to math questions, focusing on understanding the problem, identifying misconceptions, and providing pedagogically valid suggestions.","The quality/type of feedback is evaluated based on correctness, revealing nature, suggestions, diagnostic accuracy, and positivity, with scores assigned based on a rubric.",Not specified,Not specified,"Rubric scores (Correctness, Revealing, Suggestion, Diagnostic, Positive), ROUGE-L, BERTScore",Not specified
Large-Scale Assessments for Learning: A Human-Centred AI Approach to Contextualizing Test Performance,"Students, educators, policymakers.","Large-scale assessments, specifically the National Assessment of Educational Progress (NAEP) Grade 8 mathematics assessment.","Human-centered AI (HAI), machine learning techniques (including supervised, unsupervised, and active learning).",NAEP digital assessment platform.,Grade 8 (middle school).,"Process profiles, hints for intervention.","The feedback context is described as providing insights into students' test-taking processes, including their engagement with tasks and the assessment, to help educators understand performance beyond mere scores.","The quality/type of feedback is characterized as rich and contextualized, aimed at informing educators and policymakers about students' performance and engagement.",Not specified.,Not specified.,"Metrics include response times, tool usage, and performance scores.",Not specified.
Real-Time AI-Driven Assessment and Scaffolding that Improves Students’ Mathematical Modeling during Science Investigations,"Students, Teachers","Classroom, Virtual Lab Activities","AI-Driven Scaffolding, Intelligent Tutoring System (ITS)",Inq-ITS (Inquiry Intelligent Tutoring System),Eighth Grade,"Scaffolds, Hints","The feedback context is described as automated scaffolding provided in real-time based on students' performance in the virtual labs. The feedback is tailored to address specific sub-practices where students struggle, helping them understand how to complete tasks correctly.","The quality of feedback is proactive and individualized, aimed at addressing specific difficulties in mathematical modeling competencies.",Limited student agency; students do not control the timing of feedback but can interact with the pedagogical agent for additional help.,"No, students do not control feedback timing.","Average scores of students' competencies at each stage of the lab, paired samples t-tests to evaluate improvements.",Not specified.
The effectiveness of explanatory adaptive feedback within a digital educational game to enhance fraction understanding.pdf,Processing failed,Processing failed,Processing failed,Processing failed,Processing failed,Processing failed,Processing failed,Processing failed,Processing failed,Processing failed,Processing failed,Processing failed
Towards a Theoretical Foundation for Quality Tablet App-Enriched Learning Environments in Primary School Mathematics Education By Ana Donevska-Todorova,"Students, teachers.","Classroom, specifically in primary school mathematics education.","Tablet apps, technology-enhanced student-centered learning environments.","Specific apps mentioned include ""Klipp Klapp,"" ""Klötzchen,"" and ""TouchCounts.""",Primary school.,"Feedback, scaffolding, hints, guidance.","Feedback is described as being responsive to student input, providing hints and guidance throughout the learning process, and allowing for self-posed tasks and explorative activities.","The quality/type of feedback is characterized as meta-cognitive, providing tools for checking hypotheses and reflecting on solutions, with intelligent agents for individual guidance.",Students have agency in shaping their own learning paths and making choices about task prioritization.,Not specified.,Not specified.,Not specified.
Using Large Language Models To Diagnose Math Problem-solving Skills At Scale HyoungwookJin∗ YoonsuKim∗ YeonSuPark jinhw@kaist.ac.kr yoonsu16@kaist.ac.kr yeonsupark@kaist.ac.kr,"Elementary school students, mathematics educators.","The context is elementary school mathematics problem-solving, specifically focusing on diagnosing students' answers to math word problems.",Large Language Model (LLM) based technology.,The specific tool mentioned is a pipeline utilizing GPT-3.5 and GPT-4.,Elementary school (grades K3 to K6).,Personalized feedback.,"The feedback context is described as personalized diagnoses of students' problem-solving skills based on their answers, using a rubric generated by the LLM pipeline.","The quality of feedback is indicated to be satisfactory but requires refinement, particularly in aligning with student levels and curriculum.",Not specified.,Not specified.,"Metrics include accuracy of diagnosis (binary judgments of pass/fail), expert evaluations of rubric quality, and BLEU scores for textual similarity.",Not specified.
Incentivizing supplemental math assignments and using AI-generated hints is associated with improved exam performance,"Students, Teachers","Classroom, Homework Assignments","AI-generated hints, Supplemental Math Assignments",Kudu (homework platform),Undergraduate,"Hints, AI-generated hints","Feedback is provided in the form of AI-generated hints integrated into homework assignments, aimed at supporting student learning and reducing barriers to seeking help.",The quality of feedback is described as relevant and beneficial for developing students' problem-solving skills.,Students have agency in choosing to use supplemental math materials and AI-generated hints.,"Yes, students can control the timing of when they access feedback (AI-generated hints).","Exam scores, completion rates of supplemental math assignments, usage of AI-generated hints, and demographic data.","Agency is measured through the completion rates of supplemental math assignments and the usage of AI-generated hints, as well as through demographic analyses."
Work in Progress: Investigating ChatGPT for Grading Algebra Problems Marcelo Guerra Hahn,"Students, Teachers","Classroom, Algebra course",AI grading tool,ChatGPT,Undergraduate,"Feedback, partial credit","The feedback context is described as AI-generated feedback provided to students on their algebra problem submissions, with specific examples of how feedback is given based on student responses.","The quality/type of feedback varies; it can flag common errors and provide partial credit but may struggle with complex, multi-step problems.",Not specified,Not specified,"Accuracy, Precision, Recall, F1-Score, Cohen’s Kappa, Clarity, Relevance, Helpfulness",Not specified
